,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
`,,,Second semester Time table of  IT-section B,,,,,,
,,,,,,,,,
,,,,,,,,,
Sr.NO,Program,Semester,Section,Day,Class strating Time,Class Ending time,Course,Room,Course Code
,BS-iT,6th,wednesday,12:30,4:30,VSS(lab),HBL-I,It-303/L,
4,BS-iT,6th,Thursday,9:00,11:00,DW,R4,,
,BS-iT,6th,Thursday,11:00,12:30,SQE,SSg-15,,
,BS-iT,6th,Thursday,12:30,2:00,PM,HBL-III,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
eight semester Time table of iT departnment,,,,,,,,,
Sr.NO,Program,Semester,Day,Class strating Time,Class Ending time,Course,Room,Course Code,
1,BS-iT,8th,Tuesday,9:00,11:00,SM,R1,,
,BS-iT,8th,,11:00,12:30,pp,R1,HUM-302,
,BS-iT,8th,,12:30,2:00,Ai,SSg-18,,
2,BS-iT,8th,Thursday,9:00,11:00,Ai,SSA-150,,
,BS-iT,8th,,11:00,12:30,SM,R8,,
,BS-iT,8th,,12:30,2:00,PP,SSG-55,HUM-302,
,BS-iT,8th,,3:00,4:30,E&L,SSG-56,,
3,BS-iT,8th,friday,9:00,11:00,E&L,SSG-55,,
,BS-iT,8th,friday,11:00,2:00,Fyp-II(lab),Fyp lab,,
,,,,,,,,,
