Sr.no,Program,Semester,Section,Day,Class strating time,Class ending time,Course,Room,Course code
4,Bs-it,6th,Thursday,9:00,11:00,Dw,R4,,
,Bs-it,6th,Thursday,11:00,12:30,Sqe,Ssg-15,,
,Bs-it,6th,Thursday,12:30,2:00,Pm,Hbl-iii,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Eight semester time table of it departnment,,,,,,,,,
Sr.no,Program,Semester,Day,Class strating time,Class ending time,Course,Room,Course code,
1,Bs-it,8th,Tuesday,9:00,11:00,Sm,R1,,
,Bs-it,8th,,11:00,12:30,Pp,R1,Hum-302,
,Bs-it,8th,,12:30,2:00,Ai,Ssg-18,,
2,Bs-it,8th,Thursday,9:00,11:00,Ai,Ssa-150,,
,Bs-it,8th,,11:00,12:30,Sm,R8,,
,Bs-it,8th,,12:30,2:00,Pp,Ssg-55,Hum-302,
,Bs-it,8th,,3:00,4:30,E&l,Ssg-56,,
3,Bs-it,8th,Friday,9:00,11:00,E&l,Ssg-55,,
,Bs-it,8th,Friday,11:00,2:00,Fyp-ii(lab),Fyp lab,,
,,,,,,,,,
