program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-ELE,A,2nd,Ewp(Lab),nan,Tuesday,09:30,00:30,ELECTRICAL MACHINE LAB,Engr. Hidayat Ullah
BS-ELE,A,2nd,Ps,nan,Wednesday,09:30,11:00,R1,Dr. Mohd Naeem
BS-ELE,A,2nd,Cp(Lab),nan,Wednesday,11:00,02:00,SOFTWARE LAB,Engr. Mugheera Ali
BS-ELE,A,2nd,Cp,nan,Wednesday,03:00,04:30,SSG 11,Mr .Amir Shahzad
BS-ELE,A,2nd,De,MATHAP-214,Thursday,09:30,11:00,R3,Dr. Muhammad Anas
BS-ELE,A,2nd,Edc,ELE-208,Thursday,11:00,00:30,R6,Mr. Humayoun Khan
BS-ELE,A,2nd,Edc(Lab),ELE-208L,Friday,09:30,00:30,BASIC ELECTRONICS,Engr. Zahid Khan
BS-ELE,A,2nd,Edc,ELE-208L,Friday,00:30,02:00,SSG 17,Mr. Humayoun Khan
BS-ELE,B,2nd,Ps,nan,Monday,09:30,11:00,R4,Dr Naeem
BS-ELE,B,2nd,De,MATHAP-214,Monday,11:00,00:30,R4,Dr. Muhammad Anas
BS-ELE,B,2nd,Cp,nan,Monday,03:00,04:30,CISCO LAB,Mr. Amir Shahzad
BS-ELE,B,2nd,Edc(Lab),ELE-208L,Tuesday,09:30,00:30,BASIC ELECTRONICS,Engr. Zahid Khan
BS-ELE,B,2nd,Edc,ELE-208,Tuesday,03:00,04:30,SSG 11,Mr. Humayoun Khan
BS-ELE,B,2nd,Cp,nan,Wednesday,11:00,00:30,SSG 13,Mr .Amir Shahzad
BS-ELE,B,2nd,Cp(Lab),nan,Thursday,09:30,00:30,SOFTWARE LAB,Engr. Mugheera Ali
BS-ELE,B,2nd,Edc,ELE-208,Thursday,03:00,04:30,R6,Mr. Humayoun Khan
BS-ELE,B,2nd,Ewp(Lab),nan,Friday,09:30,00:30,ELECTRICAL MACHINE LAB,Engr. Hidayat Ullah
BS-ELE,B,2nd,De,MATHAP-214,Friday,00:30,02:00,SSG 13,Dr. Muhammad Anas
BS-ELE,A,4th,Pe,nan,Monday,09:30,11:00,SSA-150,Mr . Atifullah Khan
BS-ELE,A,4th,Es(Lab),ELE-425L,Monday,11:00,02:00,CISCO LAB,Eng. Haris Shahbaz
BS-ELE,A,4th,S&S,ELE-261,Monday,03:00,04:30,SSG-18,Dr. Adil Israr
BS-ELE,A,4th,Es,ELE-425,Tuesday,11:00,00:30,R5,Mr. Zia Javed
BS-ELE,A,4th,S&S,ELE-261,Tuesday,00:30,02:00,SSG-17,Dr. Adil Israr
